exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,extra,totalQuantityinShipment,,units,ExpectedManagementMethod,receivingfacilityzipcode,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,latitude,longitude
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4307,4307,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4307,4307,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4079,4079,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4307,4307,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,3964,3964,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4526,4526,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4739,4739,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,8339,8339,L - Liters (liquids only),H010,16117,PAD087561015,INMETCO,1 INMETCO DR.,ELLWOOD CITY,PA,40.8574267,-80.270097
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,14112,14112,L - Liters (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,5036,5036,G - Gallons (liquids only),H039,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4393,4393,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4634,4634,G - Gallons (liquids only),H039,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,3246,3246,G - Gallons (liquids only),H039,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4393,4393,G - Gallons (liquids only),H039,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4634,4634,G - Gallons (liquids only),H039,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4194,4194,G - Gallons (liquids only),H010,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4307,4307,G - Gallons (liquids only),H039,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,3367,3367,G - Gallons (liquids only),H039,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CANADA CORP.,656 KERR ST.,OAKVILLE,ONTARIO,CANADA,43.4488411,-79.6915436,lead,LEAD,4526,4526,G - Gallons (liquids only),H039,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CORPORATION,205 INDUSTRIAL DR.,MT. FOREST,ONTARIO,CANADA,43.9867783,-80.7470779,lead,LEAD,3608,3608,G - Gallons (liquids only),,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CORPORATION,205 INDUSTRIAL DR.,MT. FOREST,ONTARIO,CANADA,43.9867783,-80.7470779,lead,LEAD,2758,2758,G - Gallons (liquids only),,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CORPORATION,205 INDUSTRIAL DR.,MT. FOREST,ONTARIO,CANADA,43.9867783,-80.7470779,lead,LEAD,5129,5129,G - Gallons (liquids only),,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
DANA CORPORATION,205 INDUSTRIAL DR.,MT. FOREST,ONTARIO,CANADA,43.9867783,-80.7470779,lead,LEAD,3367,3367,G - Gallons (liquids only),H039,44146,OHD986976348,AGMET METALS/ INC,7800 MEDUSA STREET,OAKWOOD VILLAGE,OH,39.5922012,-84.2450027
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,7726,7726,P - Pounds,H010,16117,PAD087561015,INMETCO,1 INMETCO DR.,ELLWOOD CITY,PA,40.8574267,-80.270097
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",30.78,30.78,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,44345,44345,P - Pounds,H111,44707,OHD980568992,ENVIRITE OF OHIO/ INC.,2050 CENTRAL AVENUE S.E.,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,2700,2700,P - Pounds,H111,44707,OHD980568992,ENVIRITE OF OHIO/ INC.,2050 CENTRAL AVENUE S.E.,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,3086,3086,P - Pounds,H111,44707,OHD980568992,ENVIRITE OF OHIO/ INC.,2050 CENTRAL AVENUE S.E.,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,158,158,G - Gallons (liquids only),H111,44707,OHD980568992,ENVIRITE OF OHIO/ INC.,2050 CENTRAL AVENUE S.E.,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,2543,2543,P - Pounds,H111,44707,OHD980568992,ENVIRITE OF OHIO/ INC.,2050 CENTRAL AVENUE S.E.,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,599,599,P - Pounds,H010,44707,OHD980568992,ENVIRITE OF OHIO/ INC.,2050 CENTRAL AVENUE S.E.,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,106,106,G - Gallons (liquids only),H111,44707,OHD980568992,ENVIRITE OF OHIO/ INC.,2050 CENTRAL AVENUE S.E.,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,423,423,G - Gallons (liquids only),H010,44707,OHD980568992,ENVIRITE OF OHIO/ INC.,2050 CENTRAL AVENUE S.E.,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,1587,1587,P - Pounds,H111,44707,OHD980568992,ENVIRITE OF OHIO/ INC.,2050 CENTRAL AVENUE S.E.,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,8812,8812,P - Pounds,H010,44707,OHD980568992,ENVIRITE OF OHIO/ INC.,2050 CENTRAL AVENUE S.E.,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,650,650,P - Pounds,H111,44707,OHD980568992,ENVIRITE OF OHIO/ INC.,2050 CENTRAL AVENUE S.E.,CANTON,OH,40.77599,-81.36908
NETWORK MATERIALS & RESOURCES INC.,31 GOLDEN GATE CT,SCARBOROUGH,ONTARIO,CANADA,43.7716064,-79.2627563,lead,LEAD,151,151,G - Gallons (liquids only),H111,44707,OHD980568992,ENVIRITE OF OHIO/ INC.,2050 CENTRAL AVENUE S.E.,CANTON,OH,40.77599,-81.36908
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",28770,28770,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",25300,25300,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",29.17,29.17,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",32620,32620,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",27860,27860,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",28440,28440,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",30500,30500,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",30380,30380,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",28490,28490,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",29010,29010,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",31690,31690,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",31530,31530,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",29410,29410,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",29810,29810,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",29110,29110,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",27650,27650,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",24350,24350,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",25560,25560,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",26160,26160,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",29840,29840,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",25460,25460,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",26640,26640,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",8520,8520,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",33000,33000,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",30930,30930,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",26082,26082,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",20600,20600,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",30610,30610,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",27270,27270,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
NEWALTA INDUSTRIAL SERVICES,125 BELANGER,CHATEAUGUAY,QUEBEC,CANADA,45.3482285,-73.6963196,lead,"LEAD, CADMIUM",29330,29330,K - Kilograms,H111,48211,MID980991566,EQ DETROIT/ INC.,1923 FREDERICK,DETROIT,MI,42.3659856,-83.0476774
