exporter_name,exporter_address,exporter_city,exporter_state,exporter_country,exporterLAT,exporterLONG,hazWasteDesc,totalQuantityinShipment,units,ExpectedManagementMethod,receivingfacilityzipcode,ReceivingFacilityEPAIDNumber,importer_name,importer_address,importer_city,importer_state,latitude,longitude
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",185343,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
CHEMREC INC,190/ BROSSEAU,NA,QUEBEC,CANADA,45.4197693,-73.4887009,"TOLUENE, XYLENES",185317,P - Pounds,H061,66736,KSD980633259,SYSTECH ENVIRONMENTAL/NEWALTA,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",185300,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",185233,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",184946,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",184945,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",184835,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",184814,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
CHEMREC INC,190/ BROSSEAU,NA,QUEBEC,CANADA,45.4197693,-73.4887009,"TOLUENE, XYLENES",184634,P - Pounds,H061,66736,KSD980633259,SYSTECH ENVIRONMENTAL/NEWALTA,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
CONSUMERS' COOPERATIVE REFINERIES,550 EAST 9TH AVENUE NORTH,REGINA,SASKATCHEWAN,CANADA,50.4818802,-104.5734558,"HAZARDOUS WASTE SOLID, NOS",184420,P,H010,43725,OHD042319244,AMG VANADIUM,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",184263,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",184263,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
SYNCRUDE CANADA LTD,MILDRED LAKE SITE,FT MCMURRAY,ALBERTA,CANADA,57.0305786,-111.6067886,"VANADIUM COMPOUND, WASTE ENVIRONMENTALLY HAZARDOUS, SOLID, NOS.",183314,P,H010,43725,OHD042319244,AMG VANADIUM INC,60790 SOUTHGATE RD,CAMBRIDGE,OH,39.9970093,-81.5779037
CHEMREC INC,190 RUE BROSSEAU,COWANSVILLE,QUEBEC,CANADA,45.2228737,-72.7710266,"WASTE FLAMMABLE LIQUIDS, NOS (TOLUENE, XYLENE)",183270,P,H061,66736,KSD9806332,SYSTECH ENVIRONMENTAL CORP,1420 SOUTH CEMENT ROAD,FREDONIA,KS,37.5156317,-95.8243324
